%%Version3.3			
%%BeginHeader			
t	COD	Nitrate	Ammonium
d	g/m3	g/m3	g/m3
%%EndHeader			
0	33	10.8	0.6
1	35	12.0	0.5
2	37	14.0	0.5
3	39	14.0	0.5
4	41	14.0	0.5
5	43	14.0	0.5
6	41	12.5	0.5
7	39	11.0	0.5
8	46	7.4	0.5
9	56	1.6	1.4
10	51	1.9	1.3
11	46	2.1	1.3
12	41	2.4	1.2
13	33	7.0	0.5
14	64	2.4	1.3
15	50	0.7	1.3
16	43	1.0	0.5
17	54	1.0	1.0
18	66	1.1	1.4
19	77	1.1	1.9
20	60	6.7	0.5
21	72	2.5	0.9
22	66	2.9	0.6
23	67	1.1	1.0
24	67	1.4	0.9
25	68	1.6	0.9
26	68	1.9	0.8
27	49	9.2	0.5
28	62	10.0	0.6
29	67	2.6	1.4
30	66	1.6	1.0
31	69	1.4	1.1
32	72	1.2	1.2
33	75	1.0	1.3
34	60	10.0	0.7
35	61	0.4	13.0
36	62	0.2	10.0
37	57	0.2	12.0
38	65	0.2	11.3
39	72	0.1	10.5
40	80	0.1	9.8
41	65	4.3	2.5
42	45	2.7	4.2
43	72	1.0	3.5
44	73	0.6	4.5
45	79	0.5	4.5
46	85	0.4	4.4
47	91	0.4	4.4
48	130	1.9	0.6
49	98	0.6	5.4
50	86	0.1	8.8
51	127	0.1	9.6
52	127	0.1	9.7
53	128	0.1	9.9
54	128	0.1	10.0
55	72	4.6	0.5
56	68	2.2	3.4
57	284	2.3	2.3
58	65	0.4	2.9
59	68	0.4	3.2
60	70	0.3	3.4
61	73	0.3	3.7
62	75	9.9	0.5
63	78	0.2	3.0
64	97	0.3	4.2
65	107	0.4	6.9
66	109	0.3	7.7
67	111	0.3	8.4
68	113	0.2	9.2
69	74	4.6	0.6
70	107	0.9	5.0
71	72	0.2	5.3
72	96	0.1	6.7
73	101	0.1	7.2
74	105	0.1	7.6
75	110	0.1	8.1
76	85	0.1	7.8
77	92	0.1	7.8
78	100	0.2	12.0
79	97	0.2	11.5
80	95	0.2	11.0
81	92	0.2	10.5
82	89	0.2	10.0
83	66	1.2	1.8
84	120	17.0	14.0
85	100	0.5	11.0
86	76	0.1	12.0
87	80	0.1	9.6
88	83	0.1	7.2
89	87	0.1	4.8
90	90	0.1	2.4
91	107	0.3	10.0
92	149	0.5	12.0
93	139	0.5	12.0
94	195	0.5	12.3
95	250	0.6	12.7
96	306	0.6	13.0
97	94	0.7	0.9
98	96	0.1	4.8
99	98	0.3	9.1
100	104	0.6	12.0
101	95	0.5	11.2
102	85	0.3	10.4
103	76	0.2	9.6
104	63	3.1	1.3
105	72	1.8	4.4
106	81	0.2	9.4
107	82	0.2	9.5
108	83	0.3	9.6
109	84	0.3	9.8
110	85	0.4	9.9
111	86	0.4	10.0
112	81	11.0	0.6
113	75	3.4	2.3
114	102	0.7	3.4
115	98	0.6	4.2
116	93	0.6	5.0
117	89	0.5	5.7
118	84	0.4	6.5
119	90	5.3	0.5
120	95	3.1	1.7
121	101	0.7	4.1
122	93	0.9	2.9
123	85	1.1	1.7
124	77	1.3	0.5
125	49	4.7	0.5
126	74	0.5	9.0
127	85	0.4	7.3
128	69	0.1	11.0
129	75	0.1	11.0
130	82	0.2	11.0
131	88	0.2	11.0
132	46	3.2	3.8
133	61	0.7	8.6
134	67	0.1	9.5
135	64	0.4	1.9
136	71	0.3	4.4
137	79	0.3	6.8
138	86	0.2	9.3
139	55	3.0	6.4
140	79	0.8	8.8
141	75	0.1	8.0
142	86	0.2	5.8
143	97	0.2	6.2
144	108	0.2	6.7
145	119	0.2	7.1
146	71	1.3	5.2
147	82	0.1	13.0
148	103	0.4	12.0
149	122	0.1	14.0
150	131	0.1	13.7
151	139	0.2	13.3
152	148	0.2	13.0
153	78	4.3	14.0
154	99	0.4	15.0
155	155	0.1	17.0
156	210	0.8	12.0
157	196	0.8	11.7
158	183	0.9	11.3
159	169	0.9	11.0
160	155	16.0	1.7
161	129	10.9	3.3
162	102	5.7	4.9
163	122	18.0	2.1
164	179	17.5	2.2
165	236	17.0	2.4
166	293	16.5	2.5
167	350	16.0	2.6
168	53	18.0	0.5
169	90	18.0	0.8
170	61	13.0	0.8
171	65	11.5	0.7
172	69	9.9	0.7
173	73	8.4	0.7
174	78	12.0	0.5
175	108	14.0	0.8
176	137	13.0	0.7
177	95	12.0	0.9
178	116	8.6	1.9
179	138	5.3	2.9
180	159	1.9	3.9
181	76	14.0	0.7
182	100	12.0	2.5
183	60	13.0	1.0
184	87	10.5	1.6
185	85	7.9	1.4
186	83	5.4	1.2
187	81	2.8	1.0
188	81	11.0	0.5
189	65	9.0	2.6
190	65	7.4	1.4
191	67	2.2	1.9
192	70	2.4	1.9
193	72	2.6	1.8
194	74	2.8	1.8
