Dia;Q_entrada;NH_entrada;TSS_entrada;DQO_entrada;DBO_entrada;TN_entrada;TP_entrada;DQO_saida;Nitrato_saida;Amonia_saida
0;4719,0;21,0;271,0;391,0;198,575;34,06;8,02;33,0;10,8;0,6
1;5866,45882859017;22,0003265971091;276,000326597109;399,999346805782;203,059808940691;35,3602939373982;8,09999020208673;35,0;12,0;0,5
2;5358,15706903741;23,9988700069251;281,996233356417;406,995103363342;206,957306849838;37,5587344077561;8,14996610020775;37,0;14,0;0,5
3;5266,31310881481;22,9997911215378;278,000208878462;401,000417756924;203,710285119101;36,3997869439686;8,10999791121538;39,0;14,0;0,5
4;6671,93158626687;21,0004322062027;274,999567793797;396,999135587595;201,824410038533;34,2204408503268;8,06000432206203;41,0;14,0;0,5
5;5608,21523688295;19,999968370774;271,0;391,000031629226;198,575020558997;33,0599677381895;8,01999968370774;43,0;14,0;0,5
6;11346,0388985318;17,999583453384;267,000208273308;386,0;195,975013537765;30,8795792879178;7,97;41,0;12,5;0,5
7;7673,35500986535;14,0027340796315;264,103348210069;381,149827563804;193,516097638382;26,6877702543126;7,92131782638236;39,0;11,0;0,5
8;6474,14633080705;14,9945296894563;449,846831304775;649,779136211796;329,957639821432;36,6771174186695;10,278058039757;46,0;7,4;0,5
9;5490,10240488634;8,00113923853772;412,00012658206;596,0;302,380074050505;27,8611443018201;9,8000012658206;56,0;1,6;1,4
10;5315,32526236375;10,0;374,999841798461;541,999841798461;275,2749074521;28,0699920899231;9,32999841798461;51,0;1,9;1,3
11;7195,62621290664;12,0;337,00019347158;487,00019347158;247,584987424347;28,2300154777264;8,85000386943161;46,0;2,1;1,3
12;7145,02570160184;13,9993409845683;300,008237692897;433,012191785487;219,836382564456;28,4697330987502;8,39010214739192;41,0;2,4;1,2
13;7171,99482282213;13,9999746837268;288,001101257883;416,00159492521;211,44579974107;27,9000278479005;8,24001392395025;33,0;7,0;0,5
14;6790,14358010232;12,0042859732036;363,096434397082;525,138579800251;266,310947143098;29,5389005376862;9,19120721578569;64,0;2,4;1,3
15;6608,37558882728;16,0009532995003;572,785507612425;827,690654312142;420,197641234729;43,6106433654042;11,8273021624141;50,0;0,7;1,3
16;5118,58993195642;21,9980917173314;333,078512201223;482,112861289259;244,392482926215;38,0818537603067;8,81098412863339;43,0;1,0;0,5
17;5791,37169274998;20,9993142200185;381,0;550,002057339944;279,175846938277;39,3393827980166;9,40002057339944;54,0;1,0;1,0
18;7006,15639330613;19,0005585475219;429,000558547522;620,999441452478;315,2496732497;39,7005417910962;10,0199944145248;66,0;1,1;1,4
19;8498,689208216;17,9991630598392;477,825916446551;690,749754891918;350,613136610424;41,0208438746407;10,6278239555819;77,0;1,1;1,9
20;7235,08157799891;16,0058650848888;319,048520247717;462,06878145006;234,684761291757;31,4281364723094;8,64059184038424;60,0;6,7;0,5
21;6123,38041229017;24,9981453549776;251,040060332484;362,058421318206;183,784643718716;37,0700982961862;7,76051188202618;72,0;2,5;0,9
22;12449,5429065873;23,9987380105738;398,932483565701;576,902195819473;292,645372265816;43,2454726129337;9,63914500216378;66,0;2,9;0,6
23;10992,5206304384;19,0067595214956;333,071457798667;482,102358468361;244,387284898768;35,0901875645397;8,81089805071298;67,0;1,1;1,0
